data,Rt,High_68,Low_68,High_95,Low_95
2020-02-24,,,,,
2020-02-25,,,,,
2020-02-26,,,,,
2020-02-27,,,,,
2020-02-28,,,,,
2020-02-29,,,,,
2020-03-01,,,,,
2020-03-02,,,,,
2020-03-03,,,,,
2020-03-04,,,,,
2020-03-05,,,,,
2020-03-06,,,,,
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,,,,,
2020-03-10,,,,,
2020-03-11,,,,,
2020-03-12,,,,,
2020-03-13,,,,,
2020-03-14,,,,,
2020-03-15,,,,,
2020-03-16,,,,,
2020-03-17,,,,,
2020-03-18,,,,,
2020-03-19,,,,,
2020-03-20,,,,,
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,2.1122636939641235,2.732690455717267,1.6345614541840443,3.495841739443475,1.299583736377029
2020-03-24,2.053658735149447,2.6280144115496302,1.6063650056445313,3.3294320348450794,1.2861332230348825
2020-03-25,1.9706976353055141,2.480512267199666,1.5667947074700204,3.096238603152475,1.2688034836931845
2020-03-26,1.8915213343236568,2.343558512607556,1.527501751381899,2.8836132862335973,1.2514997637822827
2020-03-27,1.817060937719205,2.217671997709378,1.4894184339917986,2.691251613962317,1.2347444865271582
2020-03-28,1.7414264942958793,2.0920184699642834,1.4500070752005711,2.501783002205785,1.2177602126783595
2020-03-29,1.6731389945948227,1.981593422279609,1.4129929422120215,2.3383562252663803,1.2011552651312054
2020-03-30,1.603399016752602,1.871324957414865,1.3740318545877093,2.1778096765744985,1.1832234709201868
2020-03-31,1.528061782599837,1.7545721300146842,1.3309161493590345,2.0104471916035758,1.1631352302922762
2020-04-01,1.4487463262809774,1.6338761738852228,1.2846607760577722,1.8400503188705084,1.1416195232156068
2020-04-02,1.3711357430044917,1.5178337445631436,1.238649308356301,1.6787433130322564,1.1203744406185714
2020-04-03,1.2985703911978255,1.4121260670488902,1.1941610697474623,1.5348280973006563,1.0988981026978004
2020-04-04,1.2332808391183978,1.3202235514692193,1.1520699201341584,1.412898057186623,1.0765907945165016
2020-04-05,1.1754356078867674,1.2421357958594792,1.1123196711728205,1.3124202350909562,1.0527879857176392
2020-04-06,1.1219930002569063,1.1721802580214717,1.073955511012033,1.2245172843057293,1.0280677902868511
2020-04-07,1.0699884011259644,1.1054185987212923,1.0356940822450076,1.1419846750309914,1.0025356420784215
2020-04-08,1.0228711802434325,1.0492467915866588,0.9971586948809806,1.07628552891066,0.9721093354993035
2020-04-09,0.9798099634070266,1.0016167318175615,0.9584780188465982,1.0238983240782034,0.9376208981362765
2020-04-10,0.9423384759545864,0.9654282807767129,0.9198009807745393,0.9890703952409189,0.8978157952365714
2020-04-11,0.9113685530984296,0.9387084602042205,0.8848250903980862,0.9668448117154591,0.8590780721031905
2020-04-12,0.8877272943868636,0.9190473249723125,0.8574749229558772,0.9514350147122238,0.8282902106793534
2020-04-13,0.8704687068920643,0.9048666195258108,0.8373788811529479,0.9405726190541872,0.8055971423084614
2020-04-14,0.858856703085186,0.8953328001782159,0.823867269052684,0.9332955603317737,0.7903644980807102
2020-04-15,0.852073535056822,0.8898133352613269,0.8159351197399094,0.9291545203534238,0.7813980893105891
2020-04-16,0.8475130441129409,0.8862311673649979,0.8104872660767528,0.9266416358329235,0.7751538332564332
2020-04-17,0.8468775380881332,0.8857324172655244,0.8097279466568165,0.9262925841889904,0.7742836429715743
2020-04-18,0.8475817753536395,0.8862843973179613,0.8105700414688921,0.9266779073618572,0.7752491956637191
2020-04-19,0.8476105922620059,0.8863069297682179,0.8106045504772691,0.9266935629959054,0.7752888044140078
2020-04-20,0.8484705368496505,0.8869731684610342,0.8116400546500568,0.9271479494842081,0.7764817218622535
2020-04-21,0.8500771714409178,0.8881996096978066,0.81359174161313,0.9279590563837964,0.7787433202144433
2020-04-22,0.8532176491349669,0.8906496213097393,0.817359552678039,0.9296554692023562,0.7830753319389554
2020-04-23,0.859019841373248,0.8951738083047247,0.8243266441546355,0.9327885449490655,0.7910942166488873
2020-04-24,0.8610759353434478,0.8967529196866985,0.8268189087766326,0.9338498618063846,0.7939818399862526
2020-04-25,0.8613267176654471,0.8969475810808893,0.8271210390659869,0.9339836293123135,0.7943305452825086
2020-04-26,0.8559475470939777,0.8928904173819856,0.82053382328439,0.9313624341484134,0.7866492459532223
2020-04-27,0.8482204958670682,0.8870803151011191,0.8110638039438629,0.9276432616460156,0.7756102393315035
2020-04-28,0.8407014726029571,0.8813991309446962,0.8018839876120609,0.9239769626372779,0.7649466759720075
2020-04-29,0.8353163441922803,0.8772631126017113,0.795376428937394,0.921216734165687,0.7574433668370524
2020-04-30,0.8296465820557676,0.8727455884285297,0.7886772435338104,0.9179742626520967,0.7498375728626582
2020-05-01,0.8211290351348643,0.8660579077875665,0.7785325279762922,0.913319145934399,0.7382683863118504
2020-05-02,0.8113053445975931,0.8583245665287769,0.7668637819798851,0.9079214477734364,0.724999878675653
2020-05-03,0.799313911874567,0.848794929138495,0.752719875493778,0.9011629272855618,0.7090128199961278
2020-05-04,0.7849214798913232,0.8372478591449053,0.7358685983034512,0.8928477360641973,0.6900892143812891
2020-05-05,0.7716207347739976,0.8263189377375844,0.7205472557839621,0.8846418646747225,0.6730985007674779
2020-05-06,0.7597653204760296,0.8166541607266475,0.7068442257559382,0.877510746507792,0.6578908765663736
2020-05-07,0.7477675115926834,0.8069917802244784,0.6928955172391249,0.8705683231345098,0.6423757971638029
2020-05-08,0.7364534981889388,0.7977352248387023,0.6798863770628912,0.8637315570121818,0.62803386146056
